Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2023-05-21,9352,4139.239964,4728.31
2023-05-22,8753,3868.275916,2612.08
2023-05-23,23124,10465.26537,8012.61
2023-05-24,22897,10227.616089,8909.81
2023-05-25,28543,12671.120941,9698.01
2023-05-26,17511,7952.671413,6717.93
2023-05-27,10276,4483.775162,4674.45
2023-05-28,3095,1294.71437,0
2023-05-29,1505,594.975122,0
2023-05-30,9502,4471.405804,3685.46
2023-05-31,15531,7068.607016,5958.48
2023-06-01,9603,4276.067311,4589.77
2023-06-02,18251,8042.53715,5918.61
2023-06-03,1327,561.75022,0
2023-06-04,2649,1108.17774,0
2023-06-05,10117,4564.536699,2413.87
2023-06-06,10975,4865.459325,4480.23
2023-06-07,2811,1302.134319,2612.05
2023-06-08,12251,5369.883687,4139.66
2023-06-09,10182,5096.427155,4124.74
2023-06-10,5598,2486.751395,1376.12
2023-06-11,5698,2618.474634,1790.37
2023-06-12,3938,1737.20127,104.41
2023-06-13,5199,2474.807527,1905.89
2023-06-14,15900,6719.818202,4610.64
2023-06-15,9425,4245.284529,4860.74
2023-06-16,8869,3972.661006,4079.41
2023-06-17,22097,9025.126449,6961.23
2023-06-18,9492,4374.676354,2182.29
2023-06-19,4910,2257.87642,833.82
2023-06-20,11835,5265.596636,5287.34
2023-06-21,17846,6210.573485,5984.61
2023-06-22,3963,1706.16829,46.13
2023-06-23,19703,9147.046186,5259.47
2023-06-24,7327,3327.477042,3870.37
2023-06-25,34723,15424.85863,10188.8
2023-06-26,6654,3030.188573,2826.56
2023-06-27,7036,3288.592876,158.73
2023-06-28,8537,3968.0175,4110.66
2023-06-29,11128,5221.01678,4368.09
2023-06-30,13466,6217.35717700001,4517.07
2023-07-01,11332,5169.45011,5423.87
2023-07-02,26202,12323.83393,83.55
2023-07-03,10734,4699.298948,3310.03
2023-07-04,9878,4423.300645,5141.78
2023-07-05,11007,4963.428875,5448.1
2023-07-06,13378,6237.695876,4614.67
2023-07-07,8926,3998.77625,4300.54
2023-07-08,2329,1043.623313,23.99
2023-07-09,6631,2905.20611,2511.33
2023-07-10,13453,6248.13552,4927.03
2023-07-11,8262,3762.415356,4434.17
2023-07-12,10624,4952.63434,4355.58
2023-07-13,9714,4299.629204,4215.94
2023-07-14,8557,3824.966139,4264.48
2023-07-15,8154,3621.581516,4195.29
2023-07-16,3580,1565.213846,1614
2023-07-17,17995,7941.794357,5156.41
2023-07-18,12700,5762.314583,5191.55
2023-07-19,12604,5618.260156,4154.23
2023-07-20,12295,5625.00431,4265.58
2023-07-21,11072,5097.00901,2765.25
2023-07-22,8078,3531.134927,0
2023-07-23,3809,1624.82191,0
2023-07-24,15751,7307.22714,5325.48
2023-07-25,10017,4692.629801,2940.46
2023-07-26,6683,3184.86381,2845.91
2023-07-27,5885,2712.59081,3111.03
